Reviews;Aspect
Battery.. yes it is a bit drain faster(approximately after lunch time battery level would hit 20% or something. Would be goof with 5.000 mah, bht i dont thnik size would be the same.;battery
Anyway fast charging feature work well, only need 1 hour to fully recharge (use qc 2.0).;fast charging
You are right about the display. It's not as vibrant. I've tried to change all settings and it's still dull and washed out looking. Hope they fix this.;display
the wide angle camera and the battery life is better than the s9 plus. I'm happy with my decision;camera, battery life
This phone is great.;phone
i wanted to purchase this device as i love the look, display & camera;display, camera
Just looked at specs of this phone 16MP camera... Really??? same as the......S6!!!;camera
finger print scanner not workin after using a glass screen protecter;finger print
Im disappointed with battery life, i can get 4h/5h screen time.;battery life
The main camera has 12MP! It's the ultra wide cam that has 16MP... You can see it in the specs. Its extremely great camera;main camera, wide camera
It seems that 3,400 mAh battery is not good enough to sustain the specs of S10;battery
low light photography is not that good.;
The image quality is not that impressive in low light... Video is very hazy in low light,Will it get any software updates? I am using it for 3 days;image quality, video
Get the S10. I've used it enough to say it's one of the best phones out there. Cheers!;phones
Battery goes down 8% in a hour when also i not use this phone.;battery
Excellent device except battery. Battery draining is very fast and over heating when using internet.;device, battery
Best smartphone on the market!;smartphone
"Samsung Galaxy S10 launched without light LED notification. Without such feature, flagship may be called ""Samsung ship without Flag"". Hurry up Samsung before getting too late to loose your fans.";led notification
That is why I need bezel where all sensors, including notif.light, are in.;
Other than that, the punch hole does not really bother me (better than stupid notch design) and great job on battery life as well.;punch hole, battery life
Updated from S9. As a vloger, I especially love the camera and video. Stabilization quality and the color is just so much better.;camera, video, stabilization
I am really enjoying my galaxy s10. Thanks Samsung for an Awesome phone!;phone
SAMSUNG S10 also has a lot of problems especially the software.;software
the led is around the front camera, you just need to activate it.;led, front camera
Samsung's flagship series lovers are crying like wounded lion just to tell u why you abandon Light notification in S10 variants. Please pay attention and include it in next update;light notification
In my country S10+ price is about 1050 EUR which matches here. But S10 price is 954 EUR which does not match here.;price
I am dissapointed with this 6.1' small screen and this punch hole. I was expecting hole-free screen.;screen, punch hole
Samsung Is Undoubtedly High Functioning Affordable Phone Than Any Smart Phone.;phone
i am facing battery drainage problem. phone getting hot frequently. battery drainage exp id i charge to 100 then if i start to use in 10 minutes it sropa to 97..then drains 1 percent evey 2 to 3 mins.;battery
Mediocre battery life especially for a flagship;battery life
fingerprint sensor doesn’t always recognize my thumb;fingerprint sensor
This phone is a total crap unless you want use to take nice pictures;phone, pictures
Selfie camera is worst, no clear image, battery drains fast can last for 6 hours and how can i share my power to others if it's insufficient for me;selfie camera, image, battery, power
This is an amazing cellphone.;cellphone
The camera is amazing as always. I love doing photography and get a lot of compliments on the pictures. ;camera, photography, pictures
My only issue with this phone is battery life. ;battery life
No Notification Light in the S series ... whaaaat ! no led light in a 900 euros phone, so pricey;notification light
After 5 weeks, i can easily say this is the best phone i've ever used.;phone
But there's still one issue with the S-series phone from Samsung, especially the smaller ones: BATTERY!;battery
Notificacion light is a must-have , another one that lost it, in a 1000 euro price range is way too much.;notification light, price
the display is fantastic and the performance is so good.;display, performance
For me, battery life is great - easily better than my old S8. Most nights I have around 50% battery remaining and around 3 hours of SOT;battery life
The build quality is excellent.;build quality
This device's build quality is excellent.;build quality
Camera punch hole actually doesn't bother you after a day of usage.;punch hole
Battery life is phenomenal. I easily get around 5 1/2 to 6 hours of screen on time;battery life
Best things of this phone is the display quality. Samsung has definitely kept its best display for its flagship devices. All in all I am really happy and satisfied with this device.;display
Its a fail! What poor battery it has.;battery
Best phone I've used. Fingerprint issue? No just ad same finger 3 times or something then it works alot better. Not the fastest but I use face unlock so never bothered by that.;phone, fingerprint
Speakers are amazing, so is the screen and the cameras.;speakers, screen, cameras
Just a tat smaller would have been better (S10e feels too cheap for the price). Too bad fingerprint reader is slow, but i don't use it anyway.;fingerprint reader, price
Just bought the phone. Coming from S8, i am impressed. Perfect for me, and storage 128 GB is great.;speakers, screen, cameras, storage
Fingerprint reader performance was not so good;fingerprint reader
samsung Exynos processor is not good.;processor
bad battery;battery
Battery life is very less.;battery life
The face unlock works instantaneously;face unlock
Speaker louder with more bass.;speaker
Screen is really better than S8, brighter. Screen is less curved than on S8, i like the small curve actually;screen
bad battery;battery
Finger print scanner is fast after update, face unlock instantaneous, speaker super loud, great camera at night, battery ok .;finger print, face unlock, speaker, camera, battery
Really good phone, no problem.;phone
Phone has really loud speakers;phone
SAMSUNG phones camera app got a Pro mode. You can adjust the ISO manually like the Pro photographer.;camera
S10 is way ahead regarding cameras, memory, screen, speakers...about everything.;cameras, memory, screen
the camera and the fingerprint scanner have been improved.;camera, fingerprint
only stupid thing is with this phone its way to pricey with no fast charging as you after spend nearly £60 for you to have the fast charging to work;pricey
Everything Looks Bad Except To Be Honest The Benchmark Is On Top Of All Device!;
I love iphone;
Very low screen resolution;
Damn, I thought about buying this phone in the near future, but that low resolution is a big NO NO for me. Plus, that $750 starting price tag is also a big NOPE!;
no 3d touch ? LOL!;
iPhone XR has lower resolution, but has the same A12 chip , that means it will perform better in games !;
Who will buy this piece of waste with such low resolution;
This shouldn’t have been priced more than 500$. Come on Apple, at least release a budget phone, below 400$.;
Well this phone is pretty legit to me, so I'm ok with its price.;
Good for you. I like that they went for 120Hz for the displays, camera looks to be on the Pixel level, or even above, finally some decent Screen to Body ratio for mainstream phones.;
There is nothing wrong with the specs of this phone.;
they have to get out of their way to put a low resolution display in this one. that's quite sad due to the A12 SoC which is overkill for the resolution;
Very best phone with best size;
Time to go to APPLE iOS!;
I love the price and specs;
It's stupid for Apple for putting a 720p display ON A $750 PHONE! Ya'll always find a way to defend Apple. ;
Same here bro, i also like iphone xr look better;
In my opinion it's absolutely crap phone. Huge (even wider than Galaxy Note), heavyweight with low resolution screen, and as usual for Apple - no 3.5 mm jac;
Well A12 bionic chipset is absolute beast. That saying, I'll see next year's iPhone launch and if I won't be blown off by anything there or if they won't launch any smaller phone;
I Like this phone;
2018 n apple trying to sell a hd+ display for 750+ !! crazy;
iPhone 8 plus is much better in almost every aspect compare to this with same price;
it looks great. Will have to wait for some real reviews until jumping to conclusions.;
The price (€850) and the low resolution for this screen size (DPI is actually OK) are the most concerning issues with this phone.;
every thing ok. but only the thing design, its looks same , only the different the camera structure, hopeless!;
"WTF!!!!!??? 800p screen in 2018? And on the 6.1"" screen? Also IPS for $900?? That's really crazy";
It's incredible how people are so stupid to buy an iPhone when is over priced and worst then Android;
Worst product from Apple.;
Totally waste product an 700 dollar phone they can't even give an 1080p screen.;
Apple can't even provide an 1080p screen for this much huge upfront and simply names there worst product with there stupid name.!!!;
Totally a waste product;
Screen to body ratio sucks, its bezzels are super thick on sides.;
costs abt $700 and dosen't have full HD display eeewwwwwwwww..;
what a pathetic device...;
Apple's been there, done that and moved on. Get with it.;
can't play 1080p content because of its resolution, shame;
Everything looks cool but the price and size of the phone's HUGE!!!;
this phone is not fast charging, takes 5-6 hrs with original charger and 3-4 hr with other fast charger. ;
not a good phone.;
battery better than xs and any iphone ever;
I just bought tge iPhone XR it’s actually amazing ..;
iphone xr display is very poor 326 ppi, not recommended. image not clear.;
the one-day battery life is amazing.;
I used to be skeptical about the resolution being 720p but once i bought and use it, you can't even tell the difference.;
The thing costs $1150 and only has a 720p+ screen haha this is so overpriced;
Just upgraded from 7 to XR and it's a really great phone. XR is a good upgrade for you.;
Moreover, the battery life is extremely good. Gives you a full day from average to moderate use. The only downside is it's bulkiness. Rest, it's a good package.;
Go for iPhone XR. It's a great phone. My dad is using it for the past one year and he hasn't faced any problems till date.;
better camera and specs etc,except the bezels but its not that big of a difference, better battery life;
It works great and from the processor to the camera i had nothing to say. Honestly I recommend this phone it’s absolutely fabulous. Thanks;
Who will pay $850 for outdated LCD Panel display;
Apple is garbage as it is. Will never spend money on any apple product as it is way overpriced.;
This is awful. Looks like a kids phone;
People call it budget with price of 850 eur ..oh wow;
I wonder who will spend all that money on the model that makes them look like they're too poor to afford the real thing;
720 p display what the fun . iphone is cheating people;
terrible notch design;
Apple provides great after sales warranty support, regular software and security updates.;
The phone you buy will be supported for a long time.;
Iphone xr is the best low range phone;
720p display on a 6.1 inch screen. With such a tiny pixel density is a laugh;
$750 is the new standard of Apple calling it budget. But it's still damn expensive;
on top of that the A12, the great camera and you have a clear winner. No wonder it's gonna sell great.;
Incredible phone at this price and comes with an amazing screen;
Im so confuse with display;
it's not worth buying. The pixel density is lower than average on flagship phones with Amoled displays.;
Extremely disappointed with Apple.;
flagship device with a 720p screen at the end of 2018, what a joke;
Looks like apple is now trying to create a trend where thicker bezel is the new cute design....hehehhe;
750 dollar for a 720p phone lol. apple is living on the loyal sheep they harvested for years.;
i think this is the cheapest phone of apple and reasonable price compare to other phone.;
to me 720p is good enough;
very good work from apple, there are people who don't care about the display. and to be honest 326ppi in a 6.1 in display is going to be very good.;
720p for 2018 phone is ridiculous;
eagerly waiting iphone XR beast!!!! this iphone will crush all mobiles even XS in each and every dept.;
apple is xr best;
The bezels on this phone are too thick.;
Xr LCD, one camera, 64 GB, camera bump, NOTCH for 850 euro. NEVER;
I find the iPhone less and less appealing;
I think the iPhone XR is actually this year's best option for (most) people looking to buy a new iPhone this year.;
The camera on the XR has a larger sensor than the iPhone cameras from last year, but loses the telephoto lens. Still, the larger sensor is a worthwhile trade-off IMO.;
XR is Beast!!!!;
It has telephoto, but the main camera of X is worse.;
Xr Camera is same as Xs main camera, and with Smart HDR, it is actually a huge step forward.;
Ridiculos low resoultion;
I love this iPhone. Cool color especially the coral.;
Much better priced, all I need, bigger screen and better battery life - no choice!. Cant wait;
Wise choice! You'd also get a great audio experience;
No headphone jack - no deal.;
No fingerprint sensor;
No super amoled just lcd;
Only hd;
No bluetooth;
No headphone jack;
No sd card slot;
Notch;
ios is worse than android;
Trash I thought that iphones are the best;
Face ID is there as a replacement to Touch ID, it may be slightly slower but it is much easier to use, just look at your phone;
Yes but past 300ppi your eye can’t see the individual pixels unless you use your phone at 2cm from your face like an idiot;
iPhones are good all round phones. If you want a phone that will do what you need, get an iPhone;
Apple ecosystem works really well together, apples w1 chip for headphones is really convenient and the battery life is best out of the new iPhones;
Very Big and heavy. If Apple doesnt bring a smaller, lighter phone in the near future, bye bye iPhone. I want a phone with maximum height of 142 cm and no more than 160 gr.;
Got my iPhone XR today and I'm X happy with the phone;
Everyone knows the specs are good. But the price is not justifiable;
At this price I expect a 3500+ mah battery and at least a 1080p screen. It won't kill their profit margins that much... in fact it might increase it;
No xr is trash;
this phone lacks the basics of smartphone no fingerprint sensor no full hd display and no super amoled no micro sd ;
it's camera isn't that gold many phones have better cameras;
The only good think about this phone is software and chipset;
It has a good LCD screen and a small battery;
This phone is very big and heavy. ;
Ugly notch. no fingerprint sensor;
worst phone from apple;
This phone is sadly too big for my hands. Will stay with my iPhone 7 until the 8 or X are cheap used.;
Simple, compact and hi Tech;
From the reviews it almost sounded like we would be able to see individual pixels like a supermario game but the display is actually very decent, though the phone is costly overall. ;
it is a 720p display but it is sharp and bright;
This particular LCD is the best on the market in the history of screen making! This is quite attractive to me, I could complain about pixel density as everyone is doing but I believe is much more appealing to have a screen with low PPI rather than having a 4K screen with color shift value of 10, hard to see outdoors etc;
the bezels are so mich thicker than so many other phones.;
I like the design of the X series;
The screen wasn’t as bad as many said. Got my XR a few days ago and it was a fresh design from my previous 7plus . If I want a very good screen viewing;
i have to tell you that screen on this guy is amazing.Color is not yellow like on other two its soo well calibrated and is brightest screen i have seen.Plus side is that feels much more fluent and smoother due to lower resolution,and i really dont notice pixel even though i have sharp eyes;
it’s a solid gaming phone with the best iOS battery life..;
A lot of people said bad things to the display but I've found that xr with 826p(326ppi) looks so vibrant than mine even my phone rn is fhd+.I have tried it at apple shop and the display not the best but still looks excellent for me;
